station,name,year,days_ge_35,days_ge_40,txx_c,hw_events,hw_days,days_missing,complete,hw_baseline
9021,BoM CDO station 9021,1944,5,0,38.7,4,15,156,False,1961-1990
9021,BoM CDO station 9021,1945,30,3,41.8,2,6,0,True,1961-1990
9021,BoM CDO station 9021,1946,11,0,38.8,3,10,1,True,1961-1990
9021,BoM CDO station 9021,1947,19,0,38.7,2,8,8,True,1961-1990
9021,BoM CDO station 9021,1948,21,2,42.8,2,6,3,True,1961-1990
9021,BoM CDO station 9021,1949,24,2,41.2,6,20,7,True,1961-1990
9021,BoM CDO station 9021,1950,31,5,42.1,3,9,1,True,1961-1990
9021,BoM CDO station 9021,1951,16,2,41.1,2,6,2,True,1961-1990
9021,BoM CDO station 9021,1952,25,1,40.6,5,15,1,True,1961-1990
9021,BoM CDO station 9021,1953,14,2,40.3,3,11,0,True,1961-1990
9021,BoM CDO station 9021,1954,20,1,40.3,3,10,0,True,1961-1990
9021,BoM CDO station 9021,1955,30,3,41.7,0,0,0,True,1961-1990
9021,BoM CDO station 9021,1956,23,9,44.1,3,14,0,True,1961-1990
9021,BoM CDO station 9021,1957,24,2,40.3,1,5,0,True,1961-1990
9021,BoM CDO station 9021,1958,35,3,41.1,5,19,0,True,1961-1990
9021,BoM CDO station 9021,1959,21,3,43.0,8,32,0,True,1961-1990
9021,BoM CDO station 9021,1960,16,1,40.1,2,7,0,True,1961-1990
9021,BoM CDO station 9021,1961,39,11,44.6,5,16,0,True,1961-1990
9021,BoM CDO station 9021,1962,38,9,42.2,7,26,0,True,1961-1990
9021,BoM CDO station 9021,1963,21,2,41.0,1,5,0,True,1961-1990
9021,BoM CDO station 9021,1964,18,5,41.1,1,4,1,True,1961-1990
9021,BoM CDO station 9021,1965,27,5,42.1,2,9,0,True,1961-1990
9021,BoM CDO station 9021,1966,21,1,41.3,2,7,0,True,1961-1990
9021,BoM CDO station 9021,1967,20,2,41.1,2,7,0,True,1961-1990
9021,BoM CDO station 9021,1968,20,6,43.3,2,7,0,True,1961-1990
9021,BoM CDO station 9021,1969,22,4,43.4,6,20,1,True,1961-1990
9021,BoM CDO station 9021,1970,26,1,40.2,4,13,1,True,1961-1990
9021,BoM CDO station 9021,1971,16,2,41.0,1,3,2,True,1961-1990
9021,BoM CDO station 9021,1972,44,7,41.2,11,45,0,True,1961-1990
9021,BoM CDO station 9021,1973,16,3,41.2,2,6,0,True,1961-1990
9021,BoM CDO station 9021,1974,31,2,42.4,1,4,0,True,1961-1990
9021,BoM CDO station 9021,1975,30,8,42.4,2,7,0,True,1961-1990
9021,BoM CDO station 9021,1976,26,2,41.6,5,19,0,True,1961-1990
9021,BoM CDO station 9021,1977,35,3,42.8,7,27,0,True,1961-1990
9021,BoM CDO station 9021,1978,44,7,44.2,6,23,0,True,1961-1990
9021,BoM CDO station 9021,1979,32,2,42.1,3,11,0,True,1961-1990
9021,BoM CDO station 9021,1980,28,4,44.5,1,3,0,True,1961-1990
9021,BoM CDO station 9021,1981,16,2,42.1,4,13,0,True,1961-1990
9021,BoM CDO station 9021,1982,26,2,43.8,4,14,0,True,1961-1990
9021,BoM CDO station 9021,1983,21,5,40.8,7,23,0,True,1961-1990
9021,BoM CDO station 9021,1984,21,7,43.4,3,10,0,True,1961-1990
9021,BoM CDO station 9021,1985,36,7,43.5,8,37,0,True,1961-1990
9021,BoM CDO station 9021,1986,24,2,41.8,0,0,0,True,1961-1990
9021,BoM CDO station 9021,1987,19,1,41.6,4,14,0,True,1961-1990
9021,BoM CDO station 9021,1988,31,6,42.1,5,23,0,True,1961-1990
9021,BoM CDO station 9021,1989,29,6,43.4,3,9,0,True,1961-1990
9021,BoM CDO station 9021,1990,19,1,41.9,3,11,0,True,1961-1990
9021,BoM CDO station 9021,1991,29,10,46.7,5,18,0,True,1961-1990
9021,BoM CDO station 9021,1992,27,1,40.7,2,7,0,True,1961-1990
9021,BoM CDO station 9021,1993,23,2,41.2,0,0,0,True,1961-1990
9021,BoM CDO station 9021,1994,33,3,42.0,8,27,0,True,1961-1990
9021,BoM CDO station 9021,1995,25,2,40.6,1,6,0,True,1961-1990
9021,BoM CDO station 9021,1996,32,9,43.2,2,9,0,True,1961-1990
9021,BoM CDO station 9021,1997,27,8,44.9,3,9,0,True,1961-1990
9021,BoM CDO station 9021,1998,38,8,43.2,7,25,0,True,1961-1990
9021,BoM CDO station 9021,1999,36,2,40.4,5,16,0,True,1961-1990
9021,BoM CDO station 9021,2000,28,2,41.1,4,14,0,True,1961-1990
9021,BoM CDO station 9021,2001,19,1,40.1,3,21,0,True,1961-1990
9021,BoM CDO station 9021,2002,27,3,43.2,3,9,0,True,1961-1990
9021,BoM CDO station 9021,2003,32,6,43.8,6,27,0,True,1961-1990
9021,BoM CDO station 9021,2004,35,5,42.1,5,19,0,True,1961-1990
9021,BoM CDO station 9021,2005,19,2,42.6,4,14,0,True,1961-1990
9021,BoM CDO station 9021,2006,29,1,40.9,6,21,0,True,1961-1990
9021,BoM CDO station 9021,2007,31,12,44.5,6,22,0,True,1961-1990
9021,BoM CDO station 9021,2008,30,5,43.4,4,15,0,True,1961-1990
9021,BoM CDO station 9021,2009,40,3,43.0,7,24,0,True,1961-1990
9021,BoM CDO station 9021,2010,44,10,43.2,8,29,0,True,1961-1990
9021,BoM CDO station 9021,2011,50,5,41.8,5,18,0,True,1961-1990
9021,BoM CDO station 9021,2012,41,10,42.2,9,33,0,True,1961-1990
9021,BoM CDO station 9021,2013,36,4,41.1,11,42,0,True,1961-1990
9021,BoM CDO station 9021,2014,33,4,43.5,8,29,0,True,1961-1990
9021,BoM CDO station 9021,2015,34,3,44.2,8,30,0,True,1961-1990
9021,BoM CDO station 9021,2016,32,7,43.0,2,7,0,True,1961-1990
9021,BoM CDO station 9021,2017,35,3,43.3,7,38,0,True,1961-1990
9021,BoM CDO station 9021,2018,17,1,40.9,5,21,0,True,1961-1990
9021,BoM CDO station 9021,2019,40,12,42.9,9,43,0,True,1961-1990
9021,BoM CDO station 9021,2020,37,7,43.3,7,27,0,True,1961-1990
9021,BoM CDO station 9021,2021,37,6,43.3,8,27,0,True,1961-1990
9021,BoM CDO station 9021,2022,40,9,44.1,4,17,0,True,1961-1990
9021,BoM CDO station 9021,2023,46,1,40.7,8,36,1,True,1961-1990
9021,BoM CDO station 9021,2024,52,17,44.6,13,65,0,True,1961-1990
9021,BoM CDO station 9021,2025,48,11,44.7,12,50,0,True,1961-1990
9021,BoM CDO station 9021,2026,35,7,42.9,4,15,183,False,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1950,108,17,45.2,2,6,17,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1951,119,32,45.6,3,11,4,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1952,131,23,43.9,1,3,0,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1953,147,37,44.5,3,20,0,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1954,142,42,47.9,6,26,0,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1955,121,22,43.6,1,3,0,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1956,109,26,44.0,0,0,0,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1957,147,29,43.8,6,24,0,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1958,143,34,44.2,7,27,0,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1959,137,30,44.9,6,22,1,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1960,121,27,45.6,0,0,0,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1961,154,49,46.8,6,22,0,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1962,144,30,44.0,6,23,0,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1963,136,19,43.7,5,16,1,True,1961-1990
ASN00004032,"PORT HEDLAND AIRPORT, AS",1964,137,43,45.9,9,32,0,True,1961-1990
